flight_number,scheduled_departure_time,scheduled_arrival_time,flight_duration,weather_condition,crew_on_standby,aircraft_type,destination_airport,delay_minutes,departure_time,arrival_time,departure_airport,departure_city_code,full_routing,general_equipment_type,elapsed_journey_time,schedule_fingerprint,passenger_classes
FL1000,2023-01-01 06:00:00,2023-01-01 08:00:00,120,clear,5,A320,KJFK,0,06:05:00,08:05:00,KLGA,NYC,LGA-BOS-JFK,B738,0200,SPRING2023,Economy/Business
FL1001,2023-01-01 08:00:00,2023-01-01 10:00:00,150,rainy,3,B737,KLAX,10,08:10:00,10:20:00,KLAX,LAX,LAX-SFO-SEA,B739,0250,SUMMER2023,Economy
FL1002,2023-01-01 10:00:00,2023-01-01 12:00:00,130,stormy,2,A330,KATL,20,10:25:00,12:30:00,KJFK,NYC,JFK-MIA-LAX,B773,0300,FALL2023,Economy/Business/First
FL1003,2023-01-01 12:00:00,2023-01-01 14:00:00,140,clear,4,B747,KORD,5,12:05:00,14:10:00,KORD,CHI,ORD-LHR-CDG,B744,0315,WINTER2023,Economy
FL1004,2023-01-01 14:00:00,2023-01-01 16:00:00,135,foggy,3,A320,KDFW,15,14:15:00,16:25:00,KDFW,DFW,DFW-ATL-DEN,A321,0225,SPRING2024,Economy/Business
FL1005,2023-01-01 16:00:00,2023-01-01 18:00:00,145,clear,6,B737,KDEN,0,16:00:00,18:05:00,KDEN,DEN,DEN-PHX-SAN,B738,0230,SUMMER2024,Economy
FL1006,2023-01-01 18:00:00,2023-01-01 20:00:00,155,rainy,2,A330,KSFO,12,18:12:00,20:22:00,KSFO,SFO,SFO-LAX-JFK,A332,0320,FALL2024,Economy/Business
FL1007,2023-01-01 20:00:00,2023-01-01 22:00:00,125,stormy,4,B747,KMIA,18,20:18:00,22:30:00,KMIA,MIA,MIA-BOS-JFK,B748,0215,WINTER2024,Economy/First
FL1008,2023-01-01 22:00:00,2023-01-02 00:00:00,160,clear,5,A320,KLAS,0,22:00:00,00:05:00,KLAS,LAS,LAS-JFK-LAX,A319,0335,SPRING2025,Economy
FL1009,2023-01-02 00:00:00,2023-01-02 02:00:00,110,foggy,3,B737,KSEA,10,00:10:00,02:20:00,KSEA,SEA,SEA-LAX-SFO,B737,0200,SUMMER2025,Economy
FL1010,2023-01-02 06:00:00,2023-01-02 08:00:00,120,clear,6,A320,KJFK,5,06:05:00,08:10:00,KLGA,NYC,LGA-BOS-JFK,B738,0200,FALL2025,Economy
FL1011,2023-01-02 08:00:00,2023-01-02 10:00:00,150,rainy,4,B737,KLAX,0,08:00:00,10:00:00,KLAX,LAX,LAX-SFO-SEA,B739,0250,WINTER2025,Economy/Business
FL1012,2023-01-02 10:00:00,2023-01-02 12:00:00,130,clear,5,A330,KATL,15,10:15:00,12:30:00,KJFK,NYC,JFK-MIA-LAX,B773,0300,SPRING2026,First
FL1013,2023-01-02 12:00:00,2023-01-02 14:00:00,140,foggy,2,B747,KORD,10,12:10:00,14:20:00,KORD,CHI,ORD-LHR-CDG,B744,0315,SUMMER2026,Economy
FL1014,2023-01-02 14:00:00,2023-01-02 16:00:00,135,stormy,3,A320,KDFW,20,14:20:00,16:45:00,KDFW,DFW,DFW-ATL-DEN,A321,0225,FALL2026,Economy/Business
FL1015,2023-01-02 16:00:00,2023-01-02 18:00:00,145,rainy,4,B737,KDEN,5,16:05:00,18:10:00,KDEN,DEN,DEN-PHX-SAN,B738,0230,WINTER2026,Economy/First
FL1016,2023-01-02 18:00:00,2023-01-02 20:00:00,155,clear,6,A330,KSFO,0,18:00:00,20:00:00,KSFO,SFO,SFO-LAX-JFK,A332,0320,SPRING2027,Economy
FL1017,2023-01-02 20:00:00,2023-01-02 22:00:00,125,foggy,5,B747,KMIA,10,20:10:00,22:25:00,KMIA,MIA,MIA-BOS-JFK,B748,0215,SUMMER2027,Business
FL1018,2023-01-02 22:00:00,2023-01-03 00:00:00,160,stormy,2,A320,KLAS,25,22:25:00,00:30:00,KLAS,LAS,LAS-JFK-LAX,A319,0335,FALL2027,Economy
FL1019,2023-01-03 00:00:00,2023-01-03 02:00:00,110,clear,4,B737,KSEA,0,00:00:00,02:00:00,KSEA,SEA,SEA-LAX-SFO,B737,0200,WINTER2027,Economy
