flight_number,scheduled_departure_time,scheduled_arrival_time,flight_duration,weather_condition,crew_on_standby,aircraft_type,destination_airport,delay_minutes,departure_time,arrival_time,departure_airport,departure_city_code,full_routing,general_equipment_type,elapsed_journey_time,schedule_fingerprint,passenger_classes
FL1000,2023-01-01 06:00:00,2023-01-01 08:00:00,120,clear,5,A320,KJFK,0,06:05:00,08:05:00,KLGA,NYC,LGABOSJFK,B738,0200,abcd1234,EY
FL1001,2023-01-01 08:00:00,2023-01-01 10:00:00,150,rainy,3,B737,KLAX,10,08:10:00,10:20:00,KLAX,LAX,LAXSFOSEA,B739,0250,efgh5678,BY
FL1002,2023-01-01 10:00:00,2023-01-01 12:00:00,130,stormy,2,A330,KATL,20,10:25:00,12:30:00,KJFK,NYC,JFKMIALAX,B773,0300,ijkl9101,BCY
FL1003,2023-01-01 12:00:00,2023-01-01 14:00:00,140,clear,4,B747,KORD,5,12:05:00,14:10:00,KORD,CHI,ORDLHRCDG,B744,0315,mnop1122,E
FL1004,2023-01-01 14:00:00,2023-01-01 16:00:00,135,foggy,3,A320,KDFW,15,14:15:00,16:25:00,KDFW,DFW,DFWATLDEN,A321,0225,qrst2233,BY
FL1005,2023-01-01 16:00:00,2023-01-01 18:00:00,145,clear,6,B737,KDEN,0,16:00:00,18:05:00,KDEN,DEN,DENPHXSAN,B738,0230,uvwx3344,EY
FL1006,2023-01-01 18:00:00,2023-01-01 20:00:00,155,rainy,2,A330,KSFO,12,18:12:00,20:22:00,KSFO,SFO,SFOLAXJFK,A332,0320,yzab4455,B
FL1007,2023-01-01 20:00:00,2023-01-01 22:00:00,125,stormy,4,B747,KMIA,18,20:18:00,22:30:00,KMIA,MIA,MIABOSJFK,B748,0215,cdef5566,CY
FL1008,2023-01-01 22:00:00,2023-01-02 00:00:00,160,clear,5,A320,KLAS,0,22:00:00,00:05:00,KLAS,LAS,LASJFKLAX,A319,0335,ghij6677,E
FL1009,2023-01-02 00:00:00,2023-01-02 02:00:00,110,foggy,3,B737,KSEA,10,00:10:00,02:20:00,KSEA,SEA,SEALAXSFO,B737,0200,klmn7788,BY
